id,Geographic Area Name,Estimate!!Households!!Median income (dollars),Estimate!!Households!!Mean income (dollars)
1400000US53033023000,"Census Tract 230, King County, Washington",135185,160579
1400000US53033023100,"Census Tract 231, King County, Washington",119567,157419
1400000US53033023201,"Census Tract 232.01, King County, Washington",97241,118593
1400000US53033023202,"Census Tract 232.02, King County, Washington",58846,77114
1400000US53033023300,"Census Tract 233, King County, Washington",98805,119951
1400000US53033023401,"Census Tract 234.01, King County, Washington",84583,102458
1400000US53033023403,"Census Tract 234.03, King County, Washington",117917,174988
1400000US53033023404,"Census Tract 234.04, King County, Washington",152750,176136
1400000US53033023500,"Census Tract 235, King County, Washington",127200,164775
1400000US53033023601,"Census Tract 236.01, King County, Washington",106000,134637
1400000US53033023603,"Census Tract 236.03, King County, Washington",102580,126320
1400000US53033023604,"Census Tract 236.04, King County, Washington",72942,103992
1400000US53033023700,"Census Tract 237, King County, Washington",121250,185913
1400000US53033023801,"Census Tract 238.01, King County, Washington",103875,140393
1400000US53033023803,"Census Tract 238.03, King County, Washington",107927,129485
1400000US53033023804,"Census Tract 238.04, King County, Washington",115343,163249
1400000US53033023900,"Census Tract 239, King County, Washington",163864,209694
1400000US53033024000,"Census Tract 240, King County, Washington",140026,200591
1400000US53033024100,"Census Tract 241, King County, Washington",222500,337927
1400000US53033024200,"Census Tract 242, King County, Washington",196250,310095
1400000US53033024300,"Census Tract 243, King County, Washington",111950,159663
1400000US53033024400,"Census Tract 244, King County, Washington",96563,162415
1400000US53033024500,"Census Tract 245, King County, Washington",202827,292716
1400000US53033024601,"Census Tract 246.01, King County, Washington",203313,265916
1400000US53033024602,"Census Tract 246.02, King County, Washington",216488,303154
1400000US53033024701,"Census Tract 247.01, King County, Washington",91938,119178
1400000US53033024702,"Census Tract 247.02, King County, Washington",122647,162740
1400000US53033024800,"Census Tract 248, King County, Washington",96471,114262
1400000US53033024901,"Census Tract 249.01, King County, Washington",147450,212514
1400000US53033024902,"Census Tract 249.02, King County, Washington",158909,184846
1400000US53033024903,"Census Tract 249.03, King County, Washington",170119,225038
1400000US53033025001,"Census Tract 250.01, King County, Washington",122063,136078
1400000US53033025003,"Census Tract 250.03, King County, Washington",152560,203915
1400000US53033025005,"Census Tract 250.05, King County, Washington",120231,179278
1400000US53033025006,"Census Tract 250.06, King County, Washington",151820,189004
1400000US53033025101,"Census Tract 251.01, King County, Washington",87448,120616
1400000US53033025102,"Census Tract 251.02, King County, Washington",100069,116855
1400000US53033025200,"Census Tract 252, King County, Washington",97250,126723
1400000US53033025301,"Census Tract 253.01, King County, Washington",81216,96697
1400000US53033025302,"Census Tract 253.02, King County, Washington",47755,71743
1400000US53033025400,"Census Tract 254, King County, Washington",59952,73789
1400000US53033025500,"Census Tract 255, King County, Washington",66433,79392
1400000US53033025601,"Census Tract 256.01, King County, Washington",72500,91032
1400000US53033025602,"Census Tract 256.02, King County, Washington",113682,129597
1400000US53033025701,"Census Tract 257.01, King County, Washington",62953,73274
1400000US53033025702,"Census Tract 257.02, King County, Washington",100461,114613
1400000US53033025803,"Census Tract 258.03, King County, Washington",67985,78415
1400000US53033025804,"Census Tract 258.04, King County, Washington",82222,89018
1400000US53033025805,"Census Tract 258.05, King County, Washington",66633,79024
1400000US53033025806,"Census Tract 258.06, King County, Washington",85031,99642
1400000US53033026001,"Census Tract 260.01, King County, Washington",93571,117595
1400000US53033026002,"Census Tract 260.02, King County, Washington",58335,70841
1400000US53033026100,"Census Tract 261, King County, Washington",52242,81012
1400000US53033026200,"Census Tract 262, King County, Washington",59225,108677
1400000US53033026300,"Census Tract 263, King County, Washington",75040,83221
1400000US53033026400,"Census Tract 264, King County, Washington",53877,61213
1400000US53033026500,"Census Tract 265, King County, Washington",39301,56901
1400000US53033026600,"Census Tract 266, King County, Washington",74395,91948
1400000US53033026700,"Census Tract 267, King County, Washington",83919,114499
1400000US53033026801,"Census Tract 268.01, King County, Washington",49260,70321
1400000US53033026802,"Census Tract 268.02, King County, Washington",53750,72937
1400000US53033027000,"Census Tract 270, King County, Washington",54844,83152
1400000US53033027100,"Census Tract 271, King County, Washington",43646,63198
1400000US53033027200,"Census Tract 272, King County, Washington",59438,74038
1400000US53033027300,"Census Tract 273, King County, Washington",57448,67571
1400000US53033027400,"Census Tract 274, King County, Washington",75449,88422
1400000US53033027500,"Census Tract 275, King County, Washington",60989,68979
1400000US53033027600,"Census Tract 276, King County, Washington",77455,101410
1400000US53033027701,"Census Tract 277.01, King County, Washington",71444,107661
1400000US53033027702,"Census Tract 277.02, King County, Washington",90487,120793
1400000US53033027800,"Census Tract 278, King County, Washington",100077,130546
1400000US53033027900,"Census Tract 279, King County, Washington",60482,91440
1400000US53033028000,"Census Tract 280, King County, Washington",49773,68313
1400000US53033028100,"Census Tract 281, King County, Washington",61985,67123
1400000US53033028200,"Census Tract 282, King County, Washington",57267,77896
1400000US53033028300,"Census Tract 283, King County, Washington",83897,94096
1400000US53033028402,"Census Tract 284.02, King County, Washington",51006,70443
1400000US53033028403,"Census Tract 284.03, King County, Washington",48212,61997
1400000US53033028500,"Census Tract 285, King County, Washington",69036,81480
